Note_Type,left_fist_dist,left_fist_angle,right_fist_dist,right_fist_angle,left_arm_angle,right_arm_angle,nose_position,nose_above_shoulder
GUARD,0.236005762911762,335.140122493678,0.4274287102560808,122.4267445967618,9.437919973001767,33.17502002716917,-0.19488300223935237,1
WEAVE_L,0.7966717687805779,82.92565791042513,0.3830118484286783,272.2118942958263,142.026293402202,33.995999808268586,-0.1927661699192951,1
JAB_L,0.2987657901736265,327.4122432807428,0.4442378668624593,121.42278622287822,0.9432032587508932,27.98928358320143,-0.1798626478674919,1
STRAIGHT_R,0.27277105440494476,313.18750153861714,0.5044840936925996,130.3531719933738,10.298345451302248,20.546168276614758,0.0866135106821461,1
GUARD,0.3099034456642832,336.3075176909387,0.43295082121511635,128.50537345699422,6.089607920069391,9.08909058527582,-0.1316043757462747,1
WEAVE_R,0.7095171235596673,84.63451132170178,0.3637557216275098,262.04840242242125,140.7640982225944,29.975308558261265,-0.09162245650359183,1
JAB_L,0.28862419487770835,319.9899717557313,0.5073880475051684,117.24328030909685,1.4266327359828372,44.13844269418246,-0.024464857518673475,1
STRAIGHT_R,0.2707382470757406,324.33846565582854,0.5177614859686813,115.96637850111259,4.741418868317425,3.0569937680873482,-0.08659986763554799,1
GUARD,0.24705395536719219,320.8398229026964,0.44879785591990373,114.82661410274235,15.671069576582303,5.847397839686315,-0.108854746020772,1
WEAVE_L,0.407609909860285,56.04930078804513,0.15601333013773583,124.793751502019,40.59549066518122,38.849455001566085,-0.006017849968646943,1
JAB_L,0.231406078100581,338.5701085201761,0.5737746591896119,114.49834996584578,3.4967506263653205,91.98233736156709,-0.10400871773523743,1
STRAIGHT_R,0.2681662384970948,298.8991400278184,0.6734781491524254,109.40302824503155,3.7807120865448622,57.810103954996926,0.05544276011646806,1
GUARD,0.2966013367923677,320.9563093356878,0.5423258023989957,117.01135682610085,3.9531926515460025,10.180705401441045,0.05746639817220512,1
WEAVE_R,0.6218308396386831,80.45798249774433,0.09781704107059518,172.22833075155296,110.04643027341679,30.9902300564133,-0.018176622563808753,1
JAB_L,0.3072219203871761,315.33049785036263,0.6273000801388806,107.7759363894716,2.092286947203488,153.1677733016851,-0.0933094377557946,1
STRAIGHT_R,0.3274510478433672,322.5138571668572,0.6447353487499861,117.07952167748014,11.930101758230347,59.688435945625656,-0.2544931613961349,1
GUARD,0.16655993035817443,329.7503082859593,0.48422859638452764,119.18421908843177,10.76305243347806,17.352024566520825,-0.1028061560382874,1
WEAVE_L,0.7004214328298478,78.41641110456078,0.3270982395454452,261.91143573743375,128.19734808988593,33.327201392609204,-0.066131171378402,1
JAB_L,0.2978587257007829,314.011848727047,0.6209835612875477,108.43560309793678,7.5991970609318855,159.20998797897994,-0.06585155988115313,1
STRAIGHT_R,0.24531775774655074,317.9828207448212,0.6332012964274335,109.7923045524014,1.6417773812895573,66.4529570814613,-0.07790269962010976,1
GUARD,0.22705044732805818,326.4731605374275,0.5148762364303294,113.75322693005687,1.1607281261658158,22.71900367511735,-0.0414293970133023,1
WEAVE_R,0.7628206791698028,83.82401062027714,0.39869922291719934,245.08938208417862,125.96637914836451,28.79535231938295,-0.06200223758207395,1
JAB_L,0.28264123448039236,326.26654468415643,0.5253998219974091,114.94829220311598,2.3454091911881108,32.552808114836296,-0.0932291830561409,1
STRAIGHT_R,0.328928314512461,327.4776145931391,0.5632524640992916,118.1794213414539,2.454698379301629,7.74005389430948,-0.08453517670775568,1
GUARD,0.2342071910778788,332.62912458878947,0.44909554230444193,126.2169900416441,12.04092280730136,3.2145617883600073,-0.11391516292439179,1
WEAVE_L,0.7890235994990785,81.04398114123643,0.24345002102304064,261.2182523558108,134.35478923749415,32.01250025999026,-0.06260538760577826,1
JAB_L,0.2632224625152098,313.9647401540576,0.5236075323056676,109.40133039022794,0.7625585188789381,5.565026317214622,-0.13865233862662724,1
STRAIGHT_R,0.3239130589392826,313.88335376093266,0.5771599566657832,113.3547268885691,9.042698735134126,35.19959287292629,0.02792940500264232,1
GUARD,0.2858213220165316,329.7645348751853,0.5000490008099677,126.35100082480456,0.4801897129210313,13.801569590512916,-0.03696456139410164,1
WEAVE_R,0.7565385227198602,80.49445099637519,0.3176239315864805,246.15650948100665,129.12441015470515,28.947656356367496,-0.061637994612569476,1
JAB_L,0.32886204130913016,310.7234057988456,0.6158206945156302,105.2629572024704,0.4574920635480881,174.49753147091369,-0.04033489235105018,1
STRAIGHT_R,0.3482139578116317,326.48945705902065,0.577983999886897,114.86132384218566,5.206562804048919,29.879470951000698,-0.1708890585586653,1
GUARD,0.2998058093461787,328.70616929354924,0.3950181323203854,122.1969806422351,3.6604985733350857,2.1900826811768677,-0.09412343623641428,1
WEAVE_L,0.5803563146185582,77.49059838869367,0.07635311393059038,220.9956087474758,110.02437937212939,36.42526698858437,-0.03599274088151712,1
JAB_L,0.2980128763863928,320.62628396046523,0.5700774958779783,109.4288905702443,1.114900866916392,147.30074736691398,-0.07116740290477423,1
STRAIGHT_R,0.3181422801520576,318.91174358059794,0.6121510475460286,115.8474420818196,2.133975740987454,22.658780883666697,-0.0549542989783697,1
